############################
#............##............#
#.####.#####.##.#####.####.#
#@#__#.#___#.##.#___#.#__#@#
#.####.#####.##.#####.####.#
#..........................#
#.####.##.########.##.####.#
#.####.##.########.##.####.#
#......##....##....##......#
######.##### ## #####.######
_____#.##### ## #####.#_____
_____#.##          ##.#_____
_____#.## ###--### ##.#_____
######.## #______# ##.######
      .   #______#   .      
######.## #______# ##.######
_____#.## ######## ##.#_____
_____#.##  READY!  ##.#_____
_____#.## ######## ##.#_____
######.## ######## ##.######
#............##............#
#.####.#####.##.#####.####.#
#.####.#####.##.#####.####.#
#@..##.......  .......##..@#
###.##.##.########.##.##.###
###.##.##.########.##.##.###
#......##....##....##......#
#.##########.##.##########.#
#.##########.##.##########.#
#..........................#
############################
